id,year,title,genre,description,language,rating
1,2000,"Shadow Protocol","Action|Animation","A skilled operative uncovers a secret network threatening cities around the world. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",5.8
2,2001,"The Last Horizon","Adventure","A group of explorers travels beyond known space to search for a new home. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",9.5
3,2002,"Midnight Detective","Animation","A determined detective follows a chain of clues through a city full of secrets. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",9.1
4,2003,"Kingdom of Stars","Comedy|Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.7
5,2004,"Hearts in Monsoon","Crime","Two strangers meet during a rainy season and discover an unexpected connection. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",8.3
6,2005,"Code Runner","Drama","A programmer races against time after discovering a powerful digital conspiracy. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.9
7,2006,"Echoes of Time","Fantasy|Mystery","A mysterious artifact allows a historian to glimpse events from another century. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",7.5
8,2007,"The Silent House","Horror","A family moves into an old house where unexplained events begin every night. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",7.1
9,2008,"Beyond the Arena","Mystery","An underestimated athlete fights through setbacks to reach a national championship. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.7
10,2009,"City of Dreams","Romance|Drama","Friends chase ambitious dreams while navigating friendship, family and success. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",6.3
11,2010,"Ocean of Secrets","Sci-Fi","A marine researcher discovers evidence of something extraordinary beneath the sea. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",5.9
12,2011,"The Forgotten Kingdom","Thriller","An adventurer searches for a lost civilization hidden beyond the mountains. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",9.6
13,2012,"Laughing Matters","Action|Animation","A struggling comedian finds a new purpose after an unexpected road trip. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",9.2
14,2013,"Crimson Evidence","Adventure","A journalist investigates a case that powerful people want to keep hidden. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",8.8
15,2014,"Parallel Lives","Animation","Two people in different realities discover that their choices are strangely connected. This animation story combines memorable characters, strong conflicts and an engaging journey.","Spanish",8.4
16,2015,"The Great Heist","Comedy|Thriller","A clever team plans an impossible museum robbery while a detective closes in. This comedy story combines memorable characters, strong conflicts and an engaging journey.","Korean",8.0
17,2016,"Moonlight Promise","Crime","A chance meeting leads two people to reconsider the lives they thought they wanted. This crime story combines memorable characters, strong conflicts and an engaging journey.","Telugu",7.6
18,2017,"Robot Rebellion","Drama","Engineers must stop an artificial intelligence system after machines begin acting independently. This drama story combines memorable characters, strong conflicts and an engaging journey.","Tamil",7.2
19,2018,"House of Whispers","Fantasy|Mystery","A group of friends explores an abandoned mansion and uncovers its disturbing history. This fantasy story combines memorable characters, strong conflicts and an engaging journey.","Hindi",6.8
20,2019,"Road to Victory","Horror","A coach rebuilds a struggling team and teaches its players to trust one another. This horror story combines memorable characters, strong conflicts and an engaging journey.","English",6.4
21,2020,"Shadow Protocol 2","Mystery","A skilled operative uncovers a secret network threatening cities around the world. This mystery story combines memorable characters, strong conflicts and an engaging journey.","Spanish",6.0
22,2021,"The Last Horizon 2","Romance|Drama","A group of explorers travels beyond known space to search for a new home. This romance story combines memorable characters, strong conflicts and an engaging journey.","Korean",9.7
23,2022,"Midnight Detective 2","Sci-Fi","A determined detective follows a chain of clues through a city full of secrets. This sci-fi story combines memorable characters, strong conflicts and an engaging journey.","Telugu",9.3
24,2023,"Kingdom of Stars 2","Thriller","A young ruler must unite rival kingdoms when an ancient danger returns. This thriller story combines memorable characters, strong conflicts and an engaging journey.","Tamil",8.9
25,2024,"Hearts in Monsoon 2","Action|Animation","Two strangers meet during a rainy season and discover an unexpected connection. This action story combines memorable characters, strong conflicts and an engaging journey.","Hindi",8.5
26,2025,"Code Runner 2","Adventure","A programmer races against time after discovering a powerful digital conspiracy. This adventure story combines memorable characters, strong conflicts and an engaging journey.","English",8.1
