id,name,liked,watched,ratings,favoriteGenres,preferredLanguage
1,"Aarav Sharma",8|19|30|41|52|63|74|9|3|35|13,8|19|23|36|49|62|75|88|101|114|127|140|153|4|6,8:6|19:3|23:7|30:8|36:10|41:5|49:5|52:10|63:7|74:4,"",""
2,"Vivaan Joshi",15|26|37|48|59|70|81|92,15|26|28|41|54|67|80|93|106|119|132|145|158|171|184|197,15:10|26:7|28:5|37:4|41:8|48:9|54:3|59:6|70:3|81:8|92:5,"",""
3,"Aditya Kapoor",22|33|44|55|66|77|88|99|110,2|15|22|28|33|41|44|46|59|72|85|98|111|124|137|150|163|176|189,2:10|15:5|22:6|28:8|33:3|44:8|55:5|66:10|77:7|88:4|99:9|110:6,"",""
4,"Arjun Mehta",29|40|51|62|73|84|95|106|117|128,7|20|29|33|38|40|46|51|59|64|72|77|85|90|103|116|129|142|155|168|181|194,7:8|20:3|29:10|33:6|38:9|40:7|51:4|62:9|73:6|84:3|95:8|106:5|117:10|128:7,"",""
5,"Rohan Roy",36|47|58|69|80|91|102|113|124|135|146,36|43|47|56|58|69|82|95|108|121|134|147|160,36:6|43:7|47:3|56:10|58:8|69:5|80:10|91:7|102:4|113:9|124:6|135:3|146:8,"",""
6,"Kabir Verma",43|54|65|76|87|98|109|120|131|142|153|164,4|43|48|54|61|65|74|76|87|100|113|126|139|152|165|178|191,4:9|43:10|48:5|54:7|61:8|65:4|76:9|87:6|98:3|109:8|120:5|131:10|142:7|153:4|164:9,"",""
7,"Rahul Das",50|61|72|83|94|105|116|127|138|149|160|171|182,9|22|35|48|50|53|61|66|72|79|83|92|105|118|131|144|157|170|183|196,9:7|22:10|35:5|48:8|50:6|61:3|72:8|83:5|94:10|105:7|116:4|127:9|138:6|149:3|160:8|171:5|182:10,"",""
8,"Karan Gupta",57|68|79|90|101|112|123|134|145|156|167|178|189|200,1|14|27|40|53|57|58|66|68|71|79|84|90|92|97|110|123|136|149|162|175|188,1:10|14:5|27:8|40:3|53:6|57:10|68:7|79:4|90:9|101:6|112:3|123:8|134:5|145:10|156:7|167:4|178:9|189:6|200:3,"",""
9,"Ananya Iyer",64|75|86|97|108|119,63|64|75|76|89|102|115|128|141|154|167,63:7|64:6|75:3|76:10|86:8|89:5|97:5|108:10|119:7,"",""
10,"Aanya Patel",71|82|93|104|115|126|137,11|68|71|81|82|94|107|120|133|146|159|172|185|198,11:6|68:5|71:10|81:8|82:7|93:4|104:9|115:6|126:3|137:8,"",""
